discuss_id,user_id,challenge_id,dis_id,parent_discuss_id,root_discuss_id,reply_discuss_id,content,praises_count,created_at
4,5,230.0,99.0,,,,这个实训挺实用的！,3,2017-07-21 22:14:21
5,11,135.0,67.0,,,,可以在“过关任务”的开始部分增加一个目录,0,2017-07-27 10:09:16
9,5,280.0,118.0,,,,这个实训确实做的很扎实，相信同学有很多收获！,6,2017-08-07 10:23:41
16,24759,69.0,41.0,,,17.0,貌似没有告知书名的属性叫做title啊,3,2017-08-27 17:30:45
17,15712,69.0,41.0,16.0,16.0,,感谢反馈！书名的属性为title在第二关时有说明，所以这一关未做说明。加上说明会更好！感谢您的建议！,0,2017-08-30 16:15:20
19,5,365.0,137.0,,,,测试了几次没通过，原来是要在<body>里添加align，以后还是要认真看“任务要求”才行：）,9,2017-09-01 07:15:15
30,10,382.0,144.0,26.0,26.0,,谢谢你的建议，我们已经改正了！,1,2017-09-22 16:00:53
35,3039,119.0,61.0,,,36.0,能说清楚是哪道题吗？,0,2017-09-24 23:03:45
43,3039,119.0,61.0,42.0,42.0,,"请问是第几题？我测试了，没问题的。
另外，现在的print全部换成了print_，请看看是不是还是以前版本的题目。",0,2017-09-28 15:14:50
47,15739,141.0,69.0,,,,预期结果和实际结果不一致，预期输出有制表符和空格，且第五题开始编译不成功,5,2017-09-29 19:40:49
48,15739,499.0,180.0,,,52.0,老师，实际输出最后多了一个换行符，与预计输出不一致,0,2017-09-29 19:41:58
49,15739,494.0,177.0,,,4020.0,老师，我按照参考答案输出的，但是实际输出在最后一行有换行，与预计输出不一样,6,2017-09-29 19:46:06
50,10,416.0,144.0,44.0,44.0,,我们是一个严谨的平台 :)，println会在末尾添加一个换行哦，这样就与测试集内容不符合了！,1,2017-09-29 22:30:02
51,3039,496.0,177.0,49.0,49.0,,你再试试，应该没问题了,0,2017-09-30 12:53:18
52,3039,502.0,180.0,48.0,48.0,,你再试试,0,2017-09-30 12:57:31
53,3039,141.0,69.0,,,,第几关预期结果与实际结果不一致？请说清楚,1,2017-09-30 13:00:52
54,3039,143.0,69.0,,,,第五题需要你添加代码完成程序，开始缺少代码当然不成功,1,2017-09-30 13:04:03
55,10,356.0,132.0,22.0,22.0,,0.0和0都是可以通关的呀，同学是不是再试一下？谢谢及时给我们反馈！,0,2017-10-01 20:21:08
56,24774,416.0,144.0,,,412.0,在nextLine()方法里为什么要在scanner.nextLine()前面加new，而在next()方法里的scanner.next前面没有？,1,2017-10-05 09:41:13
57,24774,356.0,132.0,,,58.0,同楼上，输入0时没有通过，输入0.0时才通过,1,2017-10-05 10:27:51
61,24774,385.0,141.0,,,62.0,这里有bug啊，还以为我自己打错了，原来把参考答案复制了也不能通过...应该是recordRecovery的长度本来是10，要把最后一个if语句中的-1改成-5才能不输出最后一个空格，实际输出老是会多一个空格...,3,2017-10-07 18:33:03
62,18318,385.0,141.0,61.0,61.0,,感谢你的反馈，根据你的描述，我们已经将问题定位：判断是否输出空格的条件应当是i != num - 1，而不是i != recordRecovery.length - 1。问题已经排除，欢迎继续你的任务！,0,2017-10-08 07:53:40
63,26977,118.0,61.0,,,,第六题怎么做,1,2017-10-10 17:28:21
64,26113,119.0,61.0,,,,第四题我编了好久了，搞不定,1,2017-10-10 20:06:32
67,26113,119.0,61.0,,,80.0,第四个咋也不对，说是语法错误，然而并没有啊,0,2017-10-10 20:36:19
68,26702,119.0,61.0,,,79.0,"Traceback (most recent call last):
File ""1-2.py"", line 22, in 
print_(1/16[-1+sqrt(17)+sqrt(2*(17-sqrt(17)))+2*sqrt(17+3*sqrt(17)-sqrt(2*(17-sqrt(17)))-2*sqrt(2*(17+sqrt(17))))])
TypeError: 'int' object is not subscriptable请问老师这是怎么回事？",0,2017-10-10 20:39:36
71,27288,118.0,61.0,,,,第6题怎么做的啊,0,2017-10-10 21:11:08
72,26511,119.0,61.0,,,85.0,这个好难,0,2017-10-10 22:19:35
76,3039,119.0,61.0,75.0,75.0,,你看看是不是删掉了前面print_函数的定义,0,2017-10-11 10:15:57
77,3039,119.0,61.0,73.0,73.0,,能发一下你的代码吗？,0,2017-10-11 10:16:30
78,3039,119.0,61.0,70.0,70.0,,你的括号没匹配上，建议你每次都打全“( )”再在括号内下表达式。,0,2017-10-11 10:17:43
79,3039,119.0,61.0,68.0,68.0,,不能用中括号“［ ］”，数学公式里的各种括号，在转化成Python表达式时，都是“（）”。“［］”和“｛｝”在Python里有特殊含义。,0,2017-10-11 10:19:07
80,3039,119.0,61.0,67.0,67.0,,仔细读题，只要算出表达式的值即可,0,2017-10-11 10:22:08
81,3039,119.0,61.0,74.0,74.0,,"请具体到第几题，并把你的代码发一下看看。
一般来说可能是缩进的问题",1,2017-10-11 10:24:13
87,26511,119.0,61.0,,,,老师我弄了好久但是还是没过，只好买了参考答案，但是照着答案打还是没给。,0,2017-10-11 13:02:31
