chapter_id,name,description,created_at
1,第1章 基础知识,,2017-07-17 11:10:37
2,第2章 控制语句,,2017-07-17 11:11:31
3,第一部分 程序控制,程序可以抽象为“数据的输入-数据的处理-结果输出”。这一部分从输入输出引入程序结构，然后用模块化程序设计方法贯穿整个部分。数据的每一个最小处理单元由运算符来完成，运算符形成的表达式可以实现预定义数据类型的计算，某个计算过程（也可以说算法）需要一组有序的运算共同完成，组织这些运算需要使用顺序、选择、循环三种结构。更复杂的功能则需要引入函数，使用模块化的程序设计方法进行设计。,2017-07-23 07:56:46
5,第二部分 数据结构,程序=数据结构+算法，光有程序控制部分实现算法不够，还需要有数据结构的设计。数据结构一般可以抽象为数据对象加上数据对象之间的联系。数组描述一种最常见的数据结构：连续存放有序的同类型数据对象。结构则用来描述单个复杂对象，指针可以通过存放的地址访问该地址的对象，常用来表示对象之间的联系。实际数据结构的设计则更加灵活。这一部分带你走进C++的数据结构设计。,2017-07-23 07:57:38
6,第三部分 综合提升,数据结构经常可以描述为数据对象和数据对象之间的联系，通过联系的复杂性可以分为线性结构、树形结构和图形结构，这一部分通过线性表初步接触数据结构的设计和实现。大型系统的运行则需要文件的支持，文件使程序处理大量数据成为可能。这一部分从数据结构的复杂性和处理数据的量两个方面进行综合提升。,2017-07-23 07:57:59
10,第1部分 线性数据结构,该部分训练线性结构的实现方法，涉及线性表、队列、栈。,2017-07-23 08:01:17
11,第2部分 线性结构的应用,该部分训练线性结构在典型问题中的应用，以及针对线性结构的排序和查找算法。,2017-07-23 08:01:29
16,第1章 Python起步,,2017-07-26 06:10:09
17,第2章 程序流程控制,,2017-07-26 06:10:34
18,第3章 函数,,2017-07-26 06:20:31
26,专题一 Python基础,"Python是现在应用十分广泛的编程语言，它有一个广泛的标准库，在Linux、UNIX、Windows Macintosh等操作系统的兼容性都很好。而且Python易于阅读、易于维护，也十分易于学习。

本专题主要包含了Python的运算符、表达式、数学库函数的应用练习，面向过程的选择结构语句、循环结构语句和函数的应用练习，以及列表、元组和字典结构的基本使用练习。

带有‘’※‘号标记的实训项目是与理论教材章后习题、实验教材实验关卡和综合实验相配套的实验内容。",2017-08-12 22:38:56
29,第一阶段 Python 程序设计入门：Python 初体验,该阶段为学习者介绍了 Python 中不同的编程模式，以及在脚本编程模式下如何使用 print 内置函数实现打印输出一个字符串的功能。让学习者初步体验和感受 Python 的基本用法，为后续编程实战打下基础。,2017-08-15 10:32:59
30,第二阶段 Python 程序设计入门：数据类型,本阶段主要介绍 Python 中的字符串、列表、元组与字典等常见数据类型及其常用操作，该部分为 Python 编程的基础。,2017-08-15 10:36:15
32,第四阶段 Python 程序设计入门：函数与模块,本阶段主要介绍 Python 程序设计中的函数与模块，包括函数的定义与使用、模块的应用等。,2017-08-15 10:51:18
33,第五阶段 Python 程序设计入门：类与对象,本阶段进入 Python 面向对象编程部分，主要介绍类的基本语法、类的继承以及其它特性。,2017-08-15 10:52:09
34,第1章 C++实现智能指针,通过使用C++语言实现智能指针的过程，来了解C++基本程序设计的方法，包括类的定义与使用，运算符的重载，模板类的使用方法，以及引用计数技术。,2017-08-15 15:51:01
36,第2章  C++实现高性能内存池,获得内存池所分配的内存速度高于从堆中获得分配的内存的速度，一个长期稳定运行的服务在追求极致的过程中，实现内存池是必不可少的。和标准库中的默认分配器一样，内存池本质上也是分配器，本次实验将设计并使用 C++实现一个高性能内存池。,2017-08-15 15:52:45
37,专题三 典型应用问题求解,"本专题基于计算思维与计算机问题求解建立实训，进行计算机思维训练。

带有‘’※‘号标记的实训项目是与理论教材章后习题、实验教材实验关卡和综合实验相配套的实验内容。",2017-08-25 22:36:39
38,专题四 信息编码与数据表示,"本专题揭示信息编码的奥秘，包括数值、字符、声音、图像的基本Python编程实现，以及信息压缩与加解密的Python处理方法，进一步掌握Python语言的基本用法并熟悉一些新的功能。

带有‘’※‘号标记的实训项目是与理论教材章后习题、实验教材实验关卡和综合实验相配套的实验内容。",2017-08-25 22:37:57
39,专题五 计算机系统的程序员视角,"本专题从程序员的角度，利用Python语言实现对计算机软硬件资源的管理，包括进程、主存、硬盘、文件等；了解Python图像用户界面编程；加强利用Python解决实际问题的能力；另外，进一步加深对计算机系统组成、结构及工作原理的理解。

带有‘’※‘号标记的实训项目是与理论教材章后习题、实验教材实验关卡和综合实验相配套的实验内容。",2017-08-25 22:38:43
42,第1章 HTML5入门基础,本阶段主要讲解HTML5的基本原理和使用方法，使同学们可以快速制作出满足各类功能需求的网页。,2017-08-31 10:04:21
43,第2章 CSS3从入门到精通,本阶段主要讲解CSS3的基本原理和关键技术的使用方法，使得同学们制作出来网页更加精美，功能更加完善。,2017-08-31 10:05:33
44,第3章 网页制作综合实例,本阶段主要从多个精美网页案例入手展开实训，使同学们巩固所学的基础知识，进而掌握HTML5和CSS3综合运用的能力。（小demo效果的制作如动态云等，完整网页的搭建）,2017-08-31 10:09:05
47,第一阶段 基础Python数据工具实战,本阶段介绍Python机器学习的基础：Numpy和Pandas数据科学工具包。Numpy帮助大家更加便利地操作数组、矩阵、张量等抽象的数学对象，Pandas帮助大家便利地操作数据集。,2017-09-09 11:08:42
48,第二阶段 机器学习算法框架入门,本阶段首先以一个简单的机器学习应用例子“电影评分预测”，来帮助大家熟悉机器学习算法开发和问题求解的基本流程和框架，通过一步一步实现主要的机器学习流程来熟悉整个框架。其次，介绍流行的Scikit-Learn工具包，向大家介绍使用开源机器学习工具包开展机器学习应用的基本概念和方法。,2017-09-09 11:10:21
49,第三阶段 常用机器学习算法实战,本阶段基于Scikit-Learn科学计算包，向大家介绍几种主流的有监督和无监督机器学习算法的原理和使用方法。,2017-09-09 11:10:58
50,第四阶段 前沿机器学习技术,介绍TensorFlow等深度学习工具包的使用。,2017-09-09 11:11:45
52,第3部分 树和图,该部分训练树形数据结构和图数据结构。,2017-09-12 21:25:02
56,第1章 计算机基础知识,该阶段的实训中，包括一些计算机基础知识的选择题。,2017-09-17 17:20:18
59,第一阶段 PHP基础教程,本阶段提供了PHP入门级实训项目，将从基本语法、控制流程、字符串与函数、数组以及面向对象编程等几个方面让大家对PHP有一个基本的全面的了解，为后续学习打下坚实的基础。,2017-10-02 21:10:37
61,第二阶段 PHP高级教程,本阶段的实训内容将面向PHP语言的综合运用，结合HTML表单和MySQL数据库等等，提升大家在实际项目中的开发能力。,2017-10-03 10:12:42
62,第一章、Android 开发初体验 ,主要介绍 Android 项目文件结构，相信大家对安卓系统并不陌生，体验过后就会觉得 Android 开发并不困难，希望能激起大家的学习热情。,2017-10-24 14:53:57
64,MySQL-实用教程,我们将通过以下实验使大家熟悉和掌握MySQL的基本内容：创建数据库和表；表数据插入、修改和删除；数据库的查询和视图；索引和完整性；存储过程和触发器的使用；用户、角色与安全性。,2017-10-27 22:12:55
