course_id,name,description,visits,created_at,learning_notes,publish_time
1,C++程序设计,,2047,2017-07-17 11:08:11,,
3,C&C++程序设计（计算机程序设计）,"`C`和`C++`是历史最悠久、最受欢迎的程序设计语言。`C++`是`C`语言的面向对象扩展，是`C`语言的超集。除了面向对象编程等`C++`特性之外，两种语言基本上是一致的。`C`和`C++`应用领域非常广泛，包括系统软件、游戏、网络软件、分布式系统、嵌入式系统等等。

目前国际、国内或者各知名`IT`企业组织的程序设计竞赛大多使用`C`和`C++`语言，如`ACM/ICPC`、`Google`的`GCJ`、`Facebook`的`HackerRank`、`TopCoder`、百度之星等，获得好的成绩相当于获得进入这些知名企业的通行证。

国防科技大学自`2000`年开始讲授`C++`语言以来，经历了面向语言、面向编程能力、面向问题求解、面向新工科计算能力的需求，采用语言、精心设计的能同时反应语言设计初衷和实际问题求解需求的案例两条线并进的方式，引导学生，从简单到复杂，分阶段逐步滚动迭代，培养学生复杂工程问题的计算分析和求解能力。课程组获湖南省教学成果特等奖`1`次、二等奖`1`次，获校教学成果一等奖`1`次，`2017`年获得学校唯一的一个本科教学优秀集体一等奖。

本课程充分利用`Educoder`边学习边闯关的特点，采用实训闯关和视频教学相结合的方式，其中实训闯关在`EduCoder`平台（实践课程链接：https://www.educoder.net/paths/3 ）实施，视频教学在学堂在线（`MOOC`链接：https://www.xuetangx.com/course/NUDT08091001138/5882253） 实施，将学习过程分为`3`个阶段，由浅入深，通过知识网结构帮助学生全面把握所学内容，通过大量的案例引导学生进行能力的训练，使学生逐步掌握`C`和`C++`语言，掌握计算分析和求解能力，为求职或更进一步的学习、研究打好基础。本课程适合自学或者辅助线下教学。
",124561,2017-07-23 07:56:01,本课程适用于《`C`程序设计》、《`C++`程序设计》或同类课程，支持“零基础”的同学自主学习`C`和`C++`语言，对同学们的计算机和编程基础没有特殊要求。,2017-09-03 11:35:23
4,﻿数据结构与算法（C语言）,"在编写程序时，我们需要考虑如下问题：如何描述所涉及的数据的逻辑关系，如何存储这些数据及其逻辑关系，如何设计和实现对数据的操作算法。《数据结构与算法》就是回答这些问题的。当问题给定后，数据之间的逻辑关系就给定了，接下来设计合理的存储方式就很重要，它关系到对数据进行操作的算法如何实现。给定了逻辑结构和存储结构，最后还需要设计实现高效的对数据进行操作的算法。
<p>
《数据结构与算法》课程一般围绕线性结构、树、图这三种逻辑结构展开，介绍顺序存储、链接存储、索引存储、散列存储等存储方式，以及相应的算法设计与实现。本实训围绕《数据结构与算法》中典型结构和算法开展实战训练，涉及线性表、队列、栈、表达式、字符串、排序、查找、树、图等。目的是通过本实训，让你掌握典型数据结构的设计与算法实现。
</p>",41578,2017-07-23 08:00:58,该实训需要 C 语言编程的经验。如果你已经掌握 C 语言，那么就可以进入本实训了。,2017-10-22 11:09:09
7,Python程序设计,,852,2017-07-26 06:09:39,,
11,Python程序设计入门,"Python 是一种面向对象的解释型计算机程序设计语言，因其简洁性、易读性、可扩展性、丰富和强大的功能库等，成为最受欢迎的程序设计语言之一。Python 能够与其他语言（如 C/C++、Matlab 等）轻松集成，并且其本身也是开源软件，在学术界和产业界得到极其广泛的应用。随着人工智能的爆发，Python 基本已经坐稳 AI 时代头牌编程语言。
<br>

本实训套件包含了一系列 Python 实训项目，为学习者规划了一条简单快捷的 Python 学习路径，以完成任务通过关卡的方式，带领您轻松愉快的学习和掌握 Python 语言的基础知识和编程精髓。

<p>
<center>
<img src=""/api/attachments/183354"" height=""50%"" width=""50%""  />
<p>",97410,2017-08-11 15:26:45,"Python 具有简单、易读等特性，适合初识编程的同学们。本实训课程是 Python 入门实训，可配套《 Python 语言程序设计》等同类课程，对同学们的计算机和编程基础没有过多的特殊要求，支持“零基础” Python 编程学习与实训。
<br>

本实训将一步一步带领大家轻松愉快的学习 Python 语言，让您掌握领域计算、科学计算乃至人工智能计算的钥匙！",2017-09-01 10:29:04
13,大学计算机基础——计算思维（原“大学计算机基础——基于Python”）,"人要成功融入社会所必备的思维能力，是由其所处时代能够获得的工具决定的。计算机是信息社会的必备工具之一，如何有效利用计算机分析和解决问题，将与阅读、写作和算术一样，成为 21 世纪每个人的基本技能，而不仅仅属于计算机专业人员。计算机正在对人们的生活、工作，甚至思维产生深刻的影响。

《大学计算机基础》是大学本科教育的第一门计算机公共基础课程，它的改革越来越受到人们的关注。课程的主要目的是从使用计算机、理解计算机系统和计算思维三个方面培养学生的计算机应用能力。2008年开始，以“计算思维”的培养为主线开展计算科学通识教育，逐渐成为国内外计算机基础教育界的共识。

基于这种认识，国防科技大学《大学计算机基础》教学团队对该课程进行了全面改革，强调计算思维的启蒙和训练。教学的指导思想是兼顾计算机基础知识和计算思维，选择Python作为实践语言，将信息表示与处理、计算机系统、网络、数据库、多媒体等知识既作为教学内容，又作为计算思维求解问题的研究对象并加以实践。希望通过这种问题求解的学习和实践过程，培养学生在理解计算机基础知识的同时，能有意识地将计算思维的方法和技能应用在各自专业学习中，能解决具有一定难度的实际问题。

本实践课程是与《大学计算机基础》线下课程相配套的线上实训，按专题方式组织，紧扣“问题求解”的目标，与线下课程的各知识模块密切配合，设计了环环相扣的实验环节，不仅全面覆盖了配套教材中的习题、案例，而且提供了部分基础和拓展强化的训练项目，方便教师和学习者自由组合合适的实训路径。

建议进入本课程的学习者，选用配套教材作为参考书目，其中实验教程的编撰思路与本实践课程一致，有助于学习者循序渐进，完成一些有难度的项目。课程的目标是：在实训项目的引导下通关一个个设定的计算机应用任务，建立未来利用计算机和计算思维去独立完成更多、更复杂任务的意识和信心。

",129334,2017-08-12 22:36:30,"本实践课程适用于作为大学一年级《大学计算机基础》或同类课程的线上配套实验，也适合于计算机初学者自学使用。支持“零基础”学习与实训，对计算机和编程基础没有特殊要求。

参考教材：
1.[大学计算机基础（第3版），李暾等编著，清华大学出版社](http://www.tup.tsinghua.edu.cn/booksCenter/book_07973701.html)， ISBN：978-7-302-50981-3。
2.[大学计算机基础实验教程（第2版），周海芳等编著，清华大学出版社](http://www.tup.tsinghua.edu.cn/booksCenter/book_07973801.html)，ISBN：978-7-302-50937-0。

",2017-08-27 21:16:41
14,C++程序设计,"- 本课程适合没有基础，或者初学C++的同学进行学习，前面几章会着重讲解C++的基本语法知识，有C语言基础的同学也建议重新复习一下。

- 因为C++相对C语言在基础语法特性上有一小部分差异，后面将会陆续讲解类、继承、多态等C++的高级特性，内容从易到难，适合初学者循序渐进。",4948,2017-08-15 15:48:54,适合所有的小伙伴,2018-12-03 13:48:27
15,HTML5+CSS3网页制作入门,"HTML5与CSS3是下一代Web应用技术的基础，使互联网进入了一个崭新的时代，可以让网站开发更简易、维护更便捷、界面更友好。目前，几乎所有主流的浏览器都已经完美兼容了这两项技术，包括Apple Safari、Google Chrome、Mozilla Firefox、Opera以及Microsoft Internet Explorer等。

本实训套件配合大量操作性实例对HTML5和CSS3原理进行深入浅出的剖析，使读者在学习技术的同时，掌握Web开发和设计的精髓，提高综合应用能力。",25051,2017-08-31 09:59:38,"本实训课程适用于初入网页制作领域的同学们，支持“零基础”的学习与实训，可配套《基础网页设计》等同类课程使用，对同学们的计算机基础没有过多的特殊要求。

本实训将带领同学们从基础知识的入门到完整案例的实践，一步一步开启网页前端制作的大门。",2017-10-09 20:30:08
20,机器学习-入门,"机器学习(Machine Learning, ML)是一门多领域交叉学科，涉及概率论、统计学、最优化、算法复杂度理论等多个学科方向。专门研究如何借助计算机模拟实现人类的学习行为，以获取新的知识或技能，或者更好地组织已有的知识结构。机器学习是人工智能的核心，是使计算机具有智能的根本途径之一，其应用遍及人工智能的各个领域。

本实训路径包含了一系列机器学习实训内容，按照夯实基础、掌握框架、学习算法、探索前沿的思路，给各位学习者设计了一条清晰的从入门到精通的机器学习学习路径，助你轻松地掌握机器学习的一般原理和应用方法，为未来的人工智能革命打好基础。",5969,2017-09-09 11:07:44,"1、学习者需掌握基础的Python编程技能。
2、请独立完成各个关卡。
3、请不要将自己的作业提供给其他人。
4、请勿抄袭，系统具有智能识别能力。",2019-11-14 10:19:48
24,大学计算机基础,"随着信息时代的发展，计算机已经成为信息社会的必备工具之一，如何有效利用计算机分析和解决问题，将与阅读、写作和算术一样，成为 21 世纪每个人的基本技能，而不仅仅属于计算机专业人员。计算机正在对人们的生活、工作，甚至思维产生深刻的影响。 
“大学计算机基础”是大学本科教育的第一门计算机公共基础课。课程的主要目的是从使用计算机、理解计算机系统和计算思维三个方面培养学生的计算机应用能力。2008年开始，以“计算思维”的培养为主线开展计算科学通识教育，逐渐成为国内外计算机基础教育界的共识。
本实训旨在于为计算机的初学者提供一个良好的学习平台，实训的内容有助于初学者更加了解计算机的基础知识，以及计算机的简单操作。并且该实训该包括Pyhton语言的学习，并且还会有一些基础的编程实践。",867,2017-09-17 17:12:26,"1.本实训适用于计算机的初学者，包括最简单的计算机基础操作。
2.本实训有部分基础的Python编程操作。",2017-09-19 08:13:15
