sub_discipline_id,name,created_at
2,Java程序设计,2020-01-10 14:23:39
4,C/C++程序设计,2020-01-10 14:23:39
5,Python程序设计,2020-01-10 14:23:39
6,其他语言,2020-01-10 14:23:39
7,数据结构与算法（Java）,2020-01-10 14:23:39
8,数据结构与算法（C/C++）,2020-01-10 14:23:39
10,算法设计与分析,2020-01-10 14:23:39
25,MySQL,2020-01-10 14:23:39
26,SQL Server,2020-01-10 14:23:39
27,MongoDB,2020-01-10 14:23:39
28,Redis,2020-01-10 14:23:39
29,SQLite,2020-01-10 14:23:39
30,Hbase,2020-01-10 14:23:39
31,PostgreSQL,2020-01-10 14:23:39
32,人工智能基础,2020-01-10 14:23:39
33,机器学习,2020-01-10 14:23:39
34,深度学习,2020-01-10 14:23:39
38,机器视觉,2020-01-10 14:23:39
43,数据分析处理,2020-01-10 14:23:39
47,数据存储管理,2020-01-10 14:23:39
49,数据科学,2020-01-10 14:23:39
51,大数据应用案例,2020-01-10 14:23:39
59,Web基础,2020-01-10 14:23:39
61,前端框架,2020-01-10 14:23:39
62,后端框架,2020-01-10 14:23:39
63,Web应用案例,2020-01-10 14:23:39
72,人工智能应用案例,2020-02-04 14:19:28
73,计算机网络,2020-02-12 19:44:23
74,人工智能平台,2020-02-22 22:52:25
75,数据采集,2020-02-22 22:59:11
77,虚拟化,2020-02-22 22:59:44
79,计算机组成原理,2020-02-22 23:04:36
80,操作系统,2020-02-22 23:04:45
81,编译原理,2020-02-22 23:04:52
82,仿真编程语言,2020-02-22 23:05:08
83,电子电路,2020-02-22 23:05:35
84,信号与系统,2020-02-22 23:05:48
85,嵌入式系统,2020-02-22 23:06:00
86,软件工程导论,2020-02-22 23:06:23
89,开发运维,2020-02-22 23:06:58
90,测试度量,2020-02-22 23:07:05
91,离散数学,2020-02-22 23:07:29
92,大学计算机基础,2020-02-22 23:07:44
95,物联网,2020-02-22 23:08:13
97,集群管理,2020-02-25 11:48:10
98,Web开发语言,2020-03-15 23:27:09
101,面向对象程序设计,2020-05-26 16:21:02
102,云计算基础,2020-06-08 15:41:24
105,图形图像,2020-07-13 11:04:03
114,品高云课程案例,2020-12-12 11:04:51
120,汇编语言程序设计,2021-01-28 10:04:25
121,Linux编程设计,2021-01-28 10:07:27
122,计算机系统,2021-01-28 10:07:42
124,PHP程序设计,2021-01-28 22:37:03
125,Go语言程序设计,2021-01-28 22:38:39
126,C#程序设计,2021-01-28 22:39:14
127,Matlab程序设计,2021-01-28 22:43:03
128,计算思维,2021-02-01 14:47:21
