topic_id,challenge_id,created_at
0,80,2017-06-30 16:49:25
1,379,2017-08-09 16:09:26
2,380,2017-08-09 16:21:32
3,416,2017-08-16 15:07:01
4,399,2017-08-23 14:47:56
5,387,2017-08-24 10:57:13
6,419,2017-08-24 10:58:15
7,357,2017-08-28 09:59:33
8,357,2017-08-28 09:59:33
9,403,2017-08-28 10:18:02
9,404,2017-08-28 16:19:00
10,421,2017-09-09 12:41:58
11,584,2017-09-11 22:41:20
12,350,2017-09-15 23:50:52
13,639,2017-09-22 20:09:15
14,639,2017-09-22 20:09:15
15,621,2017-09-22 20:59:31
16,621,2017-09-22 20:59:57
17,621,2017-09-22 21:00:22
16,621,2017-09-22 21:00:47
18,621,2017-09-22 21:02:08
18,621,2017-09-22 21:02:25
16,621,2017-09-22 21:02:46
17,621,2017-09-22 21:03:13
19,629,2017-09-22 21:04:50
20,629,2017-09-22 21:05:12
18,629,2017-09-22 21:05:39
17,629,2017-09-22 21:06:03
21,629,2017-09-22 21:06:54
18,629,2017-09-22 21:07:18
22,629,2017-09-22 21:07:54
17,629,2017-09-22 21:08:25
23,621,2017-09-22 21:13:54
24,621,2017-09-22 21:15:25
25,629,2017-09-22 21:21:31
25,629,2017-09-22 21:21:57
26,658,2017-09-23 22:02:55
27,707,2017-09-28 09:58:21
28,708,2017-09-28 09:58:21
29,708,2017-09-28 09:58:21
30,382,2017-09-30 09:42:02
31,382,2017-09-30 09:42:02
32,382,2017-09-30 09:42:02
33,722,2017-10-02 14:43:14
34,722,2017-10-02 14:43:14
35,866,2017-10-10 21:54:22
35,866,2017-10-10 21:55:12
36,710,2017-10-10 22:50:56
37,710,2017-10-10 22:50:56
38,868,2017-10-13 19:07:57
39,869,2017-10-14 00:47:35
40,776,2017-10-14 13:06:58
40,780,2017-10-14 13:07:26
40,781,2017-10-14 13:07:46
41,792,2017-10-14 17:59:26
42,793,2017-10-14 17:59:47
43,796,2017-10-14 18:00:02
44,794,2017-10-14 21:56:36
45,795,2017-10-14 21:56:58
46,801,2017-10-14 21:57:12
47,782,2017-10-14 22:00:09
48,785,2017-10-14 22:00:50
49,791,2017-10-14 22:01:50
50,893,2017-10-17 23:46:29
50,893,2017-10-17 23:47:11
51,893,2017-10-17 23:47:38
50,929,2017-10-18 00:02:23
52,929,2017-10-18 00:03:28
53,929,2017-10-18 00:03:34
54,929,2017-10-18 00:04:25
55,932,2017-10-18 00:05:11
56,932,2017-10-18 00:05:40
50,932,2017-10-18 00:08:23
50,893,2017-10-18 00:11:47
57,930,2017-10-18 00:14:04
53,930,2017-10-18 00:14:37
50,930,2017-10-18 00:16:20
58,938,2017-10-18 11:41:34
59,937,2017-10-18 11:41:59
60,867,2017-10-20 20:15:31
60,803,2017-10-20 20:15:45
59,972,2017-10-25 10:10:49
58,973,2017-10-25 10:10:49
61,975,2017-10-25 11:10:36
61,975,2017-10-25 11:11:49
62,980,2017-10-25 15:46:12
63,980,2017-10-25 15:46:12
62,990,2017-10-25 21:13:36
63,990,2017-10-25 21:13:36
62,991,2017-10-25 22:33:38
63,991,2017-10-25 22:33:38
61,975,2017-10-25 22:56:26
64,1013,2017-10-29 15:54:46
60,983,2017-10-29 19:14:18
60,989,2017-10-29 19:14:30
65,1016,2017-10-30 01:31:18
66,1047,2017-10-30 16:27:42
67,1047,2017-10-30 16:27:42
66,1049,2017-10-30 17:05:07
67,1049,2017-10-30 17:05:07
67,1043,2017-10-31 11:23:06
68,1043,2017-10-31 11:23:06
69,1043,2017-10-31 11:23:06
70,1082,2017-10-31 15:42:26
70,1082,2017-10-31 15:43:45
71,1082,2017-10-31 15:45:13
71,1082,2017-10-31 15:45:59
72,1082,2017-10-31 15:49:22
71,1082,2017-10-31 15:50:22
73,476,2017-11-01 11:13:40
74,476,2017-11-01 11:13:40
66,476,2017-11-01 11:13:40
73,475,2017-11-01 11:14:19
74,475,2017-11-01 11:14:19
66,475,2017-11-01 11:14:19
73,491,2017-11-01 11:14:42
74,491,2017-11-01 11:14:42
63,491,2017-11-01 11:14:42
75,1012,2017-11-02 09:25:33
76,1018,2017-11-02 09:30:05
77,1023,2017-11-02 09:33:31
78,1023,2017-11-02 09:33:31
79,1099,2017-11-02 15:19:40
79,1098,2017-11-02 15:19:54
80,1107,2017-11-06 01:06:51
81,1106,2017-11-06 01:07:14
82,1177,2017-11-06 20:50:21
83,1158,2017-11-06 20:51:47
84,1125,2017-11-08 08:59:09
84,1126,2017-11-08 08:59:28
84,1133,2017-11-08 08:59:46
84,1132,2017-11-08 08:59:57
84,1131,2017-11-08 09:00:09
84,1130,2017-11-08 09:00:21
84,1129,2017-11-08 09:00:33
84,1128,2017-11-08 09:00:51
84,1127,2017-11-08 09:01:04
85,1199,2017-11-09 12:15:55
85,1200,2017-11-09 12:29:27
86,1094,2017-11-09 17:18:36
87,1095,2017-11-09 17:19:29
88,874,2017-11-09 19:16:52
89,1087,2017-11-09 19:17:10
90,1105,2017-11-09 19:17:19
91,1118,2017-11-09 19:17:55
92,1113,2017-11-09 19:19:31
93,351,2017-11-10 21:23:27
94,1198,2017-11-12 19:34:48
95,1202,2017-11-12 19:41:40
5,1235,2017-11-15 08:40:52
4,1236,2017-11-15 08:40:52
96,1242,2017-11-16 12:29:13
96,1243,2017-11-16 12:31:51
96,1244,2017-11-16 12:33:23
96,1245,2017-11-16 12:34:37
96,1246,2017-11-16 12:35:19
97,1312,2017-11-22 14:23:29
97,1313,2017-11-22 14:23:45
97,1314,2017-11-22 14:26:31
97,1315,2017-11-22 14:28:59
98,1305,2017-11-22 16:27:57
99,1306,2017-11-22 16:29:56
100,1317,2017-11-22 23:19:05
101,195,2017-11-26 10:51:40
102,257,2017-11-26 10:52:24
103,257,2017-11-26 10:52:24
103,279,2017-11-26 10:52:45
103,298,2017-11-26 10:53:04
103,299,2017-11-26 10:53:20
