course_id,sub_discipline_id,created_at
198,5,2020-02-04 14:04:39
222,7,2020-02-04 14:07:25
95,4,2020-02-04 14:08:05
3,4,2020-02-04 14:08:31
223,2,2020-02-04 14:08:51
201,2,2020-02-04 14:09:21
142,47,2020-02-04 14:12:35
593,49,2020-02-04 14:14:40
194,33,2020-02-04 14:15:50
845,32,2020-02-04 14:16:22
4,8,2020-02-04 14:43:30
860,2,2020-02-08 17:08:41
863,4,2020-02-08 17:12:21
11,5,2020-02-11 22:13:36
219,27,2020-02-11 22:16:53
220,28,2020-02-11 22:17:31
243,25,2020-02-11 22:24:35
13,5,2020-02-11 22:25:32
124,43,2020-02-11 22:26:27
149,5,2020-02-11 22:26:47
84,61,2020-02-12 13:05:20
15,59,2020-02-12 13:06:00
107,59,2020-02-12 13:06:51
158,43,2020-02-12 13:10:32
475,43,2020-02-12 13:11:12
432,49,2020-02-12 13:12:07
807,43,2020-02-12 13:13:08
734,73,2020-02-12 19:44:44
149,92,2020-02-22 23:15:09
13,92,2020-02-22 23:15:31
224,2,2020-02-22 23:18:35
629,4,2020-02-22 23:22:14
43,89,2020-02-23 18:05:00
1162,81,2020-02-24 22:26:45
190,81,2020-02-25 09:43:28
1055,4,2020-02-25 09:44:53
1027,83,2020-02-25 09:45:04
1027,82,2020-02-25 09:45:21
998,91,2020-02-25 09:53:46
952,86,2020-02-25 09:54:53
936,6,2020-02-25 10:36:10
879,4,2020-02-25 10:38:22
834,47,2020-02-25 10:45:29
850,72,2020-02-25 10:49:50
784,5,2020-02-25 10:55:14
784,32,2020-02-25 10:55:30
777,43,2020-02-25 10:55:40
642,62,2020-02-25 10:57:36
598,92,2020-02-25 10:58:43
598,5,2020-02-25 10:58:48
597,33,2020-02-25 10:59:06
592,33,2020-02-25 10:59:31
593,32,2020-02-25 11:05:29
591,5,2020-02-25 11:05:40
591,32,2020-02-25 11:05:58
590,32,2020-02-25 11:06:21
586,62,2020-02-25 11:06:56
507,25,2020-02-25 11:08:52
507,26,2020-02-25 11:08:55
475,51,2020-02-25 11:09:55
454,5,2020-02-25 11:10:18
453,91,2020-02-25 11:10:29
733,49,2020-02-25 11:13:09
431,79,2020-02-25 11:13:23
428,49,2020-02-25 11:13:57
421,5,2020-02-25 11:14:35
366,43,2020-02-25 11:15:22
366,33,2020-02-25 11:15:24
326,51,2020-02-25 11:15:56
322,43,2020-02-25 11:16:28
319,75,2020-02-25 11:16:46
307,8,2020-02-25 11:17:28
303,43,2020-02-25 11:17:54
302,49,2020-02-25 11:18:14
288,92,2020-02-25 11:18:21
288,4,2020-02-25 11:18:41
