course_id,exercise_id,position
1,51,1
1,49,2
1,53,3
1,54,4
1,56,1
1,57,2
1,81,3
1,82,4
1,88,5
1,89,6
1,90,7
1,92,8
1,93,9
1,95,10
1,96,1
1,97,2
24,213,1
15,137,1
15,194,2
20,148,1
20,152,2
20,186,1
20,154,2
20,158,1
26,342,1
29,187,1
29,190,1
29,189,1
29,193,2
25,377,1
25,307,2
25,382,3
28,353,1
28,368,2
28,393,3
31,218,1
31,232,1
31,231,2
31,233,3
31,234,1
31,235,2
31,236,3
32,330,1
33,440,1
34,469,1
34,476,1
34,474,1
35,425,1
35,398,1
35,428,1
35,427,1
35,448,1
35,456,1
35,462,1
35,463,1
35,465,1
35,466,1
36,361,1
36,346,1
38,144,1
38,132,2
38,141,3
38,145,1
38,153,2
38,256,3
38,149,4
38,159,1
38,156,2
38,155,3
41,498,1
41,499,2
41,515,1
43,506,1
43,522,2
43,497,1
44,563,2
50,597,1
50,606,1
50,608,1
41,523,1
41,524,1
41,526,1
41,528,2
41,548,3
51,629,1
50,620,1
50,609,1
57,738,1
57,743,2
57,739,1
57,753,1
57,759,2
57,761,3
57,769,4
57,757,1
57,756,2
57,776,1
57,784,1
57,778,1
57,767,1
57,762,2
57,793,1
61,555,1
61,633,2
61,652,3
61,675,4
61,746,5
61,802,6
61,828,7
61,871,8
67,952,1
67,953,2
67,954,1
67,951,1
67,955,2
67,956,3
67,957,4
67,958,5
67,959,1
67,960,2
67,961,3
67,962,1
67,963,1
60,836,1
61,947,1
61,950,2
72,883,1
72,1025,1
72,885,1
72,1022,1
72,926,2
75,678,1
75,725,2
75,786,1
75,870,2
75,1014,3
75,1033,1
75,1050,2
76,505,1
76,527,2
76,618,3
76,834,4
76,839,5
76,850,6
76,867,7
76,882,8
68,842,1
68,892,2
68,918,1
68,919,2
68,920,3
68,899,1
68,907,2
68,924,1
68,928,2
68,933,3
68,939,4
68,965,1
68,968,2
68,988,1
71,1054,1
84,1107,1
85,148,1
85,152,2
85,154,3
85,186,1
85,158,2
85,609,3
85,203,5
93,352,1
14,922,1
14,909,2
84,1116,1
84,1125,2
85,171,1
85,172,2
85,173,3
85,122,4
85,119,5
85,133,1
85,140,2
85,157,3
85,1137,4
85,167,1
85,166,2
85,161,3
85,168,4
85,170,5
85,169,6
85,1150,7
85,1157,8
85,937,1
85,1119,2
85,1144,3
85,1159,4
85,222,5
85,1151,6
95,717,1
95,719,2
95,723,3
95,720,4
95,722,1
95,724,2
95,763,3
95,946,1
95,969,2
60,880,1
60,897,2
60,49,3
60,51,4
60,53,5
60,54,6
60,840,1
60,876,2
60,877,3
60,96,4
60,97,5
60,794,6
60,805,7
60,800,8
60,796,1
60,848,2
60,795,3
60,803,4
60,56,1
60,57,2
60,81,3
60,82,4
60,88,5
60,89,6
60,90,7
60,92,8
60,93,9
60,95,10
60,798,11
60,909,1
60,922,2
85,137,1
85,194,2
85,279,3
85,299,4
85,881,5
85,1116,6
85,1107,7
85,1125,8
85,930,9
54,750,1
54,772,2
54,1148,3
54,1051,4
54,1093,5
54,1130,6
54,1155,7
60,207,1
60,206,2
60,192,3
60,175,4
60,118,5
60,103,6
60,70,7
60,900,8
60,815,1
60,838,2
85,1170,1
85,174,2
85,1134,3
85,1156,4
85,1145,5
85,1139,6
97,1151,1
97,152,2
97,1160,3
60,192,1
60,99,1
50,611,1
102,1112,2
102,1160,3
102,827,1
102,1006,2
102,1008,3
102,1015,4
102,148,1
102,152,2
102,1052,1
102,1103,2
102,1113,3
102,440,4
102,187,1
102,189,2
102,193,3
102,190,4
102,186,1
102,154,2
103,677,1
103,692,2
103,747,3
103,721,4
103,760,5
103,782,6
103,797,7
103,809,8
103,774,9
104,934,1
104,1104,2
104,1117,3
104,1171,4
104,1172,5
104,1142,6
104,1178,7
