cluster_key,cluster_value
0,[3270]
1,"[58, 2940]"
2,"[70, 171, 2888]"
3,"[31, 36, 111, 597, 1674]"
4,[2839]
5,"[6, 955]"
6,"[5, 955]"
8,"[238, 1702]"
9,[3023]
11,[1523]
21,"[23, 1150]"
23,"[21, 1150]"
28,"[29, 39]"
29,[28]
30,"[771, 1774]"
32,"[33, 142, 920, 990, 991, 1052, 1535, 1589, 1740, 1781, 2171, 3116, 3127]"
33,"[32, 1766]"
36,[111]
38,[38]
39,"[28, 29, 36, 111, 2362]"
53,[572]
58,[2940]
60,"[95, 549, 839, 1545, 1570, 2835]"
61,"[71, 694]"
64,[64]
65,[65]
70,"[2, 189, 197, 198, 199, 212, 785, 796, 797, 803, 948, 980, 981, 982, 1672, 2180, 2212, 3004]"
71,"[61, 72, 694]"
72,[71]
74,[2433]
75,"[613, 1605]"
77,"[1317, 2915, 3243]"
78,"[1162, 2838, 3036]"
80,[1100]
81,[1100]
83,"[2874, 2920]"
84,[84]
88,"[89, 643]"
89,"[88, 643]"
94,"[95, 549]"
95,"[60, 94]"
106,[1385]
109,"[431, 432, 441]"
111,"[3, 36, 39, 259, 598, 1040, 1675, 2555]"
121,[2803]
126,"[137, 896, 1861]"
127,[2720]
128,[128]
129,[129]
131,[440]
134,[1983]
137,[126]
139,"[375, 1927]"
142,"[32, 1680, 2414]"
143,[2812]
144,"[146, 174, 322, 2434]"
145,[1374]
146,"[144, 174, 327, 2434]"
147,[696]
148,"[186, 301, 3121]"
149,[149]
150,[150]
152,[152]
158,[159]
159,[158]
161,[162]
162,[161]
163,[164]
164,[163]
168,[1708]
169,[408]
170,[946]
171,[2]
174,"[144, 146, 331, 2434]"
177,[179]
179,[177]
183,[2803]
185,[186]
186,"[148, 185, 243, 301, 1613, 1955, 2953, 2998]"
188,"[189, 190, 225, 379, 769, 948, 965, 1611]"
189,"[70, 188, 190, 224, 225, 226, 965]"
190,"[188, 189, 225, 965, 980]"
191,[2214]
197,[70]
198,"[70, 2888, 3088]"
199,"[70, 1915]"
203,[3055]
205,"[805, 979]"
207,[2185]
210,[1717]
211,"[238, 291, 1702, 1720, 1861]"
212,"[70, 948, 1579]"
213,"[750, 1583]"
214,[214]
215,"[749, 3092]"
216,[1751]
217,[911]
218,"[598, 1040]"
220,[248]
221,[942]
223,[2444]
224,"[189, 225, 226, 785]"
225,"[188, 189, 190, 224, 226, 785, 965, 1916]"
226,"[189, 224, 225, 785]"
227,[2552]
229,[245]
230,[252]
232,[1615]
236,"[1965, 3009]"
238,"[8, 211, 2121]"
239,[954]
243,[186]
244,[244]
245,"[229, 267]"
248,[220]
249,[499]
250,[3120]
251,[267]
252,"[230, 347, 793, 1039, 1678, 1679]"
253,[1783]
257,[421]
258,[421]
259,"[36, 111]"
261,[1773]
262,"[701, 1755, 1776, 2646, 2726]"
263,"[701, 1202, 2932]"
267,"[245, 251]"
268,[2539]
270,[304]
280,[283]
283,"[280, 1123]"
286,[345]
290,[3023]
291,[211]
297,"[149, 443, 476, 693, 1682, 1683, 1730, 1731, 1732, 1839]"
301,"[148, 186, 2997]"
303,"[421, 977]"
304,"[270, 1982]"
305,[308]
306,"[307, 309, 310]"
307,"[306, 309, 310]"
308,[305]
309,"[306, 307, 310]"
310,"[306, 307, 309]"
311,[1558]
312,"[1342, 1350]"
315,"[1051, 1343]"
319,[319]
320,"[322, 327, 331]"
321,"[696, 1373]"
322,"[144, 320, 327, 331]"
323,[696]
324,"[325, 696]"
325,[324]
327,"[146, 320, 322, 331]"
328,[2703]
330,[330]
331,"[174, 320, 322, 327]"
333,[333]
336,[844]
341,"[558, 913, 914]"
342,[914]
345,[286]
346,"[367, 369]"
347,"[252, 793, 1039]"
354,"[652, 662]"
355,[356]
356,[355]
357,[406]
358,[358]
359,[359]
360,[361]
361,[361]
362,[362]
363,[1054]
366,"[367, 369]"
367,"[346, 366, 369]"
368,[368]
369,"[346, 366, 367]"
371,"[372, 391]"
372,"[371, 391]"
374,[2650]
375,"[139, 605, 1710, 1927, 3010]"
376,[377]
377,[376]
378,"[971, 1318, 1680]"
379,"[188, 769, 948, 1611]"
381,[382]
382,[381]
388,[392]
389,"[390, 393]"
390,"[389, 394]"
391,"[371, 372]"
392,[388]
393,"[389, 394]"
394,"[390, 393]"
395,[396]
396,[395]
397,[398]
398,[397]
399,[400]
400,[399]
402,"[501, 2967, 3238]"
403,"[1363, 1364]"
404,[333]
406,[357]
407,[361]
408,"[169, 423, 445]"
409,"[410, 696, 1373]"
410,"[409, 1373]"
412,[412]
416,[416]
418,"[129, 419, 2997]"
419,[418]
421,"[257, 258, 303]"
423,"[408, 445]"
424,[461]
431,"[109, 432, 441]"
432,"[109, 431, 441]"
438,[439]
439,[438]
440,[131]
441,"[109, 431, 432]"
443,[297]
445,"[408, 423, 1558]"
446,[1541]
448,[690]
450,"[1428, 1809, 2708]"
457,[1174]
458,[578]
460,"[1163, 2940]"
461,[424]
474,"[659, 2912]"
476,[297]
486,[2572]
491,[492]
492,[491]
493,"[1426, 1526]"
499,[249]
501,"[402, 502]"
502,[501]
503,[503]
510,[1178]
511,[1178]
512,"[551, 946, 1063]"
518,[1251]
525,[1614]
533,[840]
534,"[536, 1263]"
536,"[534, 1263]"
539,[946]
548,[548]
549,"[60, 94, 2368, 2370, 2641, 2644]"
551,"[512, 946]"
552,[553]
553,[552]
558,[341]
559,"[1604, 1679, 1680]"
562,[562]
563,[1411]
564,"[1176, 2417, 3178]"
568,[1412]
569,[1411]
572,[53]
573,[573]
578,[458]
584,"[1708, 2654]"
585,[588]
587,[1541]
588,[585]
589,"[41, 750]"
595,[827]
597,[3]
598,"[36, 111, 218, 1040, 2921]"
600,[802]
604,[2184]
605,[375]
609,[611]
611,[609]
613,"[75, 1605]"
614,[614]
615,[877]
617,"[900, 1666]"
619,[620]
620,[619]
623,[637]
637,[623]
638,[2882]
640,[640]
642,[1140]
643,"[88, 89]"
646,[649]
647,[669]
649,[646]
652,"[354, 662]"
659,"[474, 2902]"
660,[2912]
661,[661]
662,"[354, 652]"
664,"[1104, 3043]"
669,[647]
672,[2576]
673,"[675, 1045, 1762]"
674,[675]
675,"[673, 674]"
684,"[2573, 2902]"
685,[1750]
688,[661]
689,[1698]
690,[448]
692,[1732]
693,[297]
694,"[61, 71]"
695,[695]
696,"[147, 321, 323, 324, 409, 1065, 1066]"
701,"[262, 263, 1202]"
704,"[739, 1887]"
710,[710]
717,[720]
718,[719]
719,[718]
720,"[717, 721]"
721,[720]
724,[736]
726,[3274]
728,[880]
729,"[1151, 1480]"
732,[734]
734,[732]
736,[724]
738,[1032]
739,[704]
742,[1957]
749,"[215, 3092]"
750,"[213, 237, 589, 1715]"
751,[963]
752,[1817]
756,[1311]
758,[758]
769,"[188, 379, 948, 1611, 2957]"
771,"[30, 1774]"
773,"[779, 780]"
774,[1000]
777,[778]
778,[777]
779,[773]
780,[773]
785,"[70, 224, 225, 226, 1916]"
786,"[983, 1601]"
787,[788]
788,[787]
790,[1047]
793,"[252, 347, 1039, 1964]"
796,"[70, 2605, 3087]"
797,"[70, 982]"
798,[799]
799,[798]
802,[802]
803,[70]
805,[205]
813,[813]
814,[815]
815,[814]
823,[2274]
824,[1252]
827,[595]
835,[1721]
836,[2473]
837,[2814]
